,category,sub_category,sub_sub_category,title,description,gender
714,clothing,pants,casual pants,Ann Demeulemeester Fringed-Hem Trousers,"""Cropped, silk-blend trousers with fringed hem  Banded waist  Side seam pockets  Inseam, about 28""""  Silk/polyamide  Dry clean  Imported  Model shown is 5'10"""" (177cm) wearing US size 4.""",womens
715,,None,None,,,unisex
716,,None,None,,"When it comes to finding the ultimate cold-weather fashion, you're getting warmer... Revel in the comfort and style of this quilted faux fur collar coat by MICHAEL Michael Kors.    Featured in black    Faux fur trimmed stand collar    Long sleeves    Zip front    Horizontal quilting    Vertical zip / button waist pockets    Machine wash    Polyester / acrylic / modacrylic    Imported",unisex
717,clothing,sweaters,None,Calvin Klein Collection Chunky Knit Boat-Neck Sweater,Calvin Klein ribbed chunky knit sweater. Boat neckline. Long sleeves. Fitted silhouette. Straight hem. Pullover style. Cashmere/nylon. Made in Italy.,womens
718,kids & baby,boys clothing,None,,"This baby boys' Carter's ensemble includes a bodysuit and pants for a versatile, comfortable look.    Featured in blue / gray    Set includes bodysuit and pants    Bodysuit with collar, short sleeves and allover whale print    Pants with elastic waistband    Cotton / polyester    Imported",baby & toddler
720,,None,None,MSGM Pleated Floral-Print Skirt,"""Sharp pleats shape feminine floral-print skirt  Banded waist  Concealed side zip closure  About 33"""" long  Polyurethane/viscose/polyester  Spot clean  Made in Italy of imported fabric  Model shown is 5'10"""" (177cm) wearing US size 4.""",None
721,,None,None,,,None
722,clothing,sweaters,None,,"Exclusively ours! Add some layered style to your look with this fishtail cardigan from Studio Works that features a draped, crochet collar.    Featured in black     Open front     Long sleeves     Crochet collar     Flared fishtail design     Cotton / acrylic     Imported",womens
724,sports & outdoors,team shop,team clothing,Men's Chicago Bears Nike Heathered Gray Champ Drive Vest,Proudly rep Chicago Bears with this Champ Drive vest from Nike! The festive Chicago Bears graphics will ensure your die-hard fandom won't go unnoticed!,None
725,accessories,gloves & mittens,gloves,"Imoni Leather Tassel Gloves, Red",Imoni gloves in lamb leather. Tassel detail at wrists. Cashmere lining. Handmade in Hungary.,unisex
727,sports & outdoors,team shop,team clothing,adidas Boston Celtics Preschool Primary Logo Pullover Hoodie - Kelly Green,"Your little fan doesn't need elaborate graphics to get his point acrosshe's a BIG Celtics fan. Remember, no one messes with tradition, so let your youngin' go everywhere in ultimate Boston Celtics style with the Primary Logo hoodie from adidas. This comfy sweatshirt features a bold team logo printed on the chest for a proud display of team pride. It'll make sure he stays warm and full of Boston Celtics spirit!",unisex
730,sports & outdoors,team shop,team clothing,Soft As A Grape New York Yankees Women's Navy Plus Size First Base Tank Top,You'll be the best dressed fan at the ballpark every time you wear this super cute New York Yankees First Base tank top from Soft as a Grape! The vibrant graphics and colors will make all of your friends jealous of your unique style. Its sleeveless design brings a relaxed fit to keep you comfortable while looking like the most stylish New York Yankees fan!,unisex
731,sports & outdoors,team shop,team clothing,Antigua Richard Petty Motorsports Black Quest Striped Jersey Polo,"You've got to have the latest in Richard Petty Motorsports gear, so grab this awesome Quest Striped Jersey polo before it's gone! Crisp Richard Petty Motorsports graphics display your favorite racer for all to see. Everyone will want this Antigua polo for themselves after they see you in it!",unisex
733,kids & baby,girls clothing,girls shirts & tops,Under Armour Girls 2-6x Logo Printed Crewneck Tee,A printed detail on the front renders a smart look  Crewneck  Cap sleeves  Pullover style  4-way stretch fabrication  Cotton/polyester/spandex  Machine wash  Imported,girls
734,,None,None,Scarfina Top,"Our Scarfina top in lightweight cotton chambray features a button down front, bracelet length sleeves and smocking at the neck.",womens
735,clothing,tops,dress shirts,Geoffrey Beene Sateen Fitted Dress shirt,"Handsome shirt crafted in a wrinkle-free finish   Spread collar   Front button closure   Long sleeves with buttoned cuffs   Cotton/polyester   Machine wash   Imported      100% net profits from Geoffrey Beene, LLC fund revolutionary new cancer research at the Geoffrey Beene Cancer Research Center at Memorial Sloan Kettering Cancer Center.",mens
736,sports & outdoors,team shop,team clothing,Antigua St. Louis Cardinals Women's White Pique Xtra-Lite Polo,Give your look a little update with this St. Louis Cardinals Pique Xtra-Lite polo. Fresh graphics will have you pumped up for baseball season in an instant. Grab this St. Louis Cardinals top before it's gone!,unisex
737,clothing,denim,None,Democracy Peached Jeans,"Refresh your vintage inspired style with these slim leg jeans from Democracy that feature a lovely, soft hue.    Featured in peach    Six pocket design    button and zip closure    Belt loops    Slim leg fit    Cotton / polyester / spandex    Imported",womens
738,sports & outdoors,team shop,team accessories,New York Yankees New Era Stars & Stripes 59FIFTY Fitted Hat - White/Navy,Get your head in the game with this New York Yankees Stars and Stripes 59FIFTY fitted hat from New Era! The embroidered New York Yankees graphics will put your die-hard fandom on notice. No one will mistake your enthusiasm for the New York Yankees when you don this spirited cap!,unisex
740,electronics,cell phones,cases,New York Knicks Galaxy S7 Bumper Case,Celebrate your New York Knicks fandom and add to your team collection with this Galaxy S7 Bumper case! It features a convenient design with authentic New York Knicks graphics that will prove you're no fair-weather fan.,None
741,,None,None,,,unisex
743,,None,None,Wilbert Comfort Shoes,,unisex
746,sports & outdoors,team shop,team clothing,Men's LA Clippers Chris Paul White Backer T-Shirt,"Show your LA Clippers pride every time you wear this Chris Paul Backer T-shirt. Featuring LA Clippers graphics, this tee will keep you comfortable and full of team spirit.",unisex
747,sports & outdoors,team shop,team shoes,Winnipeg Jets Jersey Slide Slippers,"Give your casual style a boost with these Winnipeg Jets Jersey Slide slippers! The rubber, non-slip bottoms and mesh uppers of these slippers will wrap your feet in comfort. They will also add some fun Winnipeg Jets colors and embroidered applique graphics to your look when you are relaxing at home watching the game.",unisex
748,clothing,outerwear,None,,,womens
749,,None,None,,,unisex
750,sports & outdoors,team shop,team clothing,San Francisco 49ers Youth Sweater Knit Full-Zip Jacket - Heathered Gray,"As long-time San Francisco 49ers supporter, you know that true fandom starts best at an early age. Now you can get your youngster on the right path with this one-of-a-kind Sweater Knit full-zip jacket. The vivid San Francisco 49ers graphics featured on this jacket will make your kiddo look like a dedicated fan just like you. Everyone will know that your family is committed to the San Francisco 49ers once they get a look at your youngster in this spirited top!",None
751,,None,None,FINAL SALE- PLAID SHIRT,Tommy Hilfiger little boys' shirt. Outlet exclusive style. 100% cotton. Machine washable. Imported.,unisex
752,,None,None,"""Jimmie Johnson Fanatics Authentic Framed 20"""" x 24"""" 7-Time Sprint Cup Champion Collage with Championship Race-Used Tire - Limited Edition of 500""","""Commemorate Jimmie Johnson's 7 Sprint Cup Championships with this framed collectible. Each collectible comes with a collage of images from the 2016 Sprint Cup, driver number, descriptive text, and a piece of race-used tire. It measures 23"""" x 27"""" x 1"""" and is ready to hang in any home or office. The product comes with a statement of authenticity and is officially licensed by NASCAR. This collectible is a limited edition of 500.""",unisex
753,sports & outdoors,team shop,team clothing,Men's Kansas City Royals Salvador Perez Majestic Light Blue Official Name & Number T-Shirt,Wear your enthusiasm for the Kansas City Royals proudly when you get this Salvador Perez Official Name and Number T-shirt from Majestic. The Kansas City Royals graphics are amazing and show your loyalty to both the team and for Salvador Perez.,unisex
754,sports & outdoors,team shop,team clothing,Nike Baylor Bears Green 2016 Early Season Coaches Performance Polo,Trying to figure out how to show off your fierce Baylor Bears pride at work? Look no further than this Early Season Coaches polo from Nike. The bold embroidered graphics will make it hard to deny where your allegiances lie. Its Dri-FIT technology wicks away moisture keeping you dry in intense situations. This is the perfect addition to any Baylor Bears fan's workplace wardrobe.,None
756,sports & outdoors,team shop,team clothing,Portland Pilots Women's Everyday Pullover Hoodie - Purple,"Let the world know that your Portland Pilots are #1! This Everyday hoodie is all decked out in big, bold graphics and a stylish design that will look great anytime!",unisex
757,sports & outdoors,team shop,team clothing,Chase Elliott Women's Plus Sizes Spoiler Pullover Hoodie - Royal,"Sure you can go around and tell everyone how dedicated you are to Chase Elliott, but there is a much easier way to get your point across. Let everyone you pass know that you are a born and bred Chase Elliott fan with this Spoiler hoodie! This hoodie boasts your team pride with Chase Elliott graphics. There are many ways to show your team spirit, but this way you won't lose your voice.",unisex
758,sports & outdoors,team shop,team clothing,Women's San Francisco Giants Majestic Charcoal/Gray Cooperstown Collection All In for the Win T-Shirt,Root your San Francisco Giants on to another awesome victory in the Majestic Cooperstown Collection All In for the Win T-shirt! Its soft burnout fabric and crisp San Francisco Giants graphics are an effortless way to support your team any day.,unisex
759,shoes,None,None,Cameron Oxford,Includes felt shoe bag and Paul Fredrick shoe horn.,mens
760,sports & outdoors,team shop,team clothing,Jack Wilshere Arsenal Puma 2016/17 Away Replica Patch Jersey - Yellow,As a true Arsenal fan you definitely support Jack Wilshere. The best way to do that is with this jersey from Puma. This is the perfect tee for any fan looking to bulk up their collection of Arsenal player-inspired gear. The bold team graphics will make you proud to be the die-hard fan you are.,unisex
761,clothing,dresses,day dresses,KENZO Tanami Silk Flower Dress,"""Plush silk dress with eye-catching floral prints   Deep v-neckline with button accents  Long sleeves with barrel cuffs  Pullover style  About 35"""" from shoulder to hem  Silk   Dry clean  Imported  Model shown is 5'10"""" (177cm) wearing US size 4.""",womens
